run_name,learning_rate,epoch,sample_count,zero_shot_mean,sft_mean,delta,ties,sft_std,sft_min,sft_max
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,0,20,0.701030306,0.728947483,0.027917178,0,0.034533588,0.65361321,0.775307334
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,1,20,0.701030306,0.732099304,0.031068998,0,0.031841179,0.643501916,0.782763905
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,2,20,0.701030306,0.735315568,0.034285263,0,0.047880748,0.652472244,0.813447012
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,3,20,0.701030306,0.738553121,0.037522815,0,0.036560329,0.666197648,0.817410271
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,4,20,0.701030306,0.719063334,0.018033028,0,0.034502357,0.659855709,0.777643218
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,5,20,0.701030306,0.728755452,0.027725146,0,0.037606133,0.642943833,0.791452659
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,6,20,0.701030306,0.735701104,0.034670798,0,0.032319623,0.684124371,0.792206733
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,7,20,0.701030306,0.727557238,0.026526932,0,0.039358457,0.644362068,0.796573913
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,0,20,0.701030306,0.726610278,0.025579972,0,0.024827233,0.686993837,0.780691536
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,1,20,0.701030306,0.735405863,0.034375557,0,0.038293271,0.657814086,0.793566273
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,2,20,0.701030306,0.720458657,0.019428352,0,0.032867597,0.659949308,0.766237826
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,3,20,0.701030306,0.732418033,0.031387727,0,0.030465817,0.66050056,0.794055087
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,4,20,0.701030306,0.722871182,0.021840876,0,0.038733317,0.645842975,0.785526053
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,5,20,0.701030306,0.716283944,0.015253639,0,0.039329737,0.627004559,0.767959657
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,6,20,0.701030306,0.730508463,0.029478157,0,0.039185557,0.656139763,0.795655302
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,7,20,0.701030306,0.720080043,0.019049738,0,0.036936632,0.658150387,0.777803731
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,0,20,0.701030306,0.734489031,0.033458725,0,0.035649696,0.66313377,0.778323932
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,1,20,0.701030306,0.728921714,0.027891408,0,0.036059498,0.634117375,0.775502012
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,2,20,0.701030306,0.728683489,0.027653183,0,0.037569602,0.65547547,0.77967821
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,3,20,0.701030306,0.735628154,0.034597848,0,0.028087287,0.662450132,0.801233655
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,4,20,0.701030306,0.738487281,0.037456976,0,0.029627967,0.682864957,0.778949475
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,5,20,0.701030306,0.729495753,0.028465447,0,0.043996392,0.636568578,0.796855499
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,6,20,0.701030306,0.730814905,0.029784599,0,0.04106865,0.604339977,0.792711994
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,7,20,0.701030306,0.721555531,0.020525225,0,0.043246596,0.579752737,0.783805093
