rank,enrollment_1,enrollment_2,enrollment_3,zero_shot_mean,sft_mean,sft_minus_zero,zero_change_vs_010_020_030
1,060.wav,080.wav,090.wav,0.6955629208778662,0.6372994425998724,-0.05826347827799383,-0.03227713022987533
2,080.wav,090.wav,100.wav,0.7005676981226597,0.643603868576804,-0.05696382954585577,-0.027272352985081794
3,060.wav,090.wav,100.wav,0.702111417643727,0.6427116161384919,-0.05939980150523505,-0.02572863346401455
4,020.wav,080.wav,090.wav,0.7027479563659003,0.6471615599326904,-0.05558639643320984,-0.025092094741841264
5,070.wav,080.wav,090.wav,0.702939634019273,0.6580849597331357,-0.04485467428613721,-0.024900417088468574
6,030.wav,080.wav,090.wav,0.7033130452671793,0.6578908453922255,-0.04542219987495377,-0.02452700584056222
7,020.wav,060.wav,090.wav,0.7042916758869674,0.6462693074943785,-0.0580223683925889,-0.02354837522077413
8,060.wav,070.wav,090.wav,0.70448335354034,0.6571927072948238,-0.047290646245516155,-0.023356697567401552
9,060.wav,080.wav,100.wav,0.7046901514912766,0.6482741541119508,-0.05641599737932579,-0.023149899616464964
10,030.wav,060.wav,090.wav,0.7048567647882463,0.6569985929539136,-0.04785817183433272,-0.0229832863194952
11,040.wav,080.wav,090.wav,0.7060285613438618,0.6517520404874012,-0.05427652085646062,-0.0218114897638797
12,020.wav,060.wav,080.wav,0.706870409734517,0.6518318454678372,-0.055038564266679746,-0.020969641373224546
13,060.wav,070.wav,080.wav,0.7070620873878898,0.6627552452682827,-0.044306842119607115,-0.020777963719851744
14,010.wav,080.wav,090.wav,0.7072387183407106,0.6608754241335495,-0.04636329420716112,-0.02060133276703091
15,030.wav,060.wav,080.wav,0.707435498635796,0.6625611309273723,-0.04487436770842368,-0.020404552471945503
16,040.wav,060.wav,090.wav,0.707572280864929,0.6508597880490893,-0.05671249281583968,-0.020267770242812566
17,010.wav,060.wav,090.wav,0.7087824378617776,0.6599831716952376,-0.04879926616654007,-0.01905761324596389
18,020.wav,090.wav,100.wav,0.709296453131761,0.65257373347131,-0.05672271966045106,-0.018543597975980486
19,070.wav,090.wav,100.wav,0.7094881307851336,0.6634971332717554,-0.04599099751337821,-0.018351920322607906
20,030.wav,090.wav,100.wav,0.7098615420330399,0.6633030189308451,-0.04655852310219477,-0.017978509074701665
21,040.wav,060.wav,080.wav,0.7101510147124785,0.6564223260225481,-0.053728688689930415,-0.01768903639526298
22,010.wav,060.wav,080.wav,0.7113611717093273,0.6655457096686964,-0.04581546204063092,-0.016478879398414192
23,020.wav,070.wav,090.wav,0.711668389028374,0.6670548246276419,-0.044613564400732164,-0.016171662079367488
24,020.wav,080.wav,100.wav,0.7118751869793106,0.6581362714447688,-0.0537389155345418,-0.0159648641284309
25,020.wav,030.wav,090.wav,0.7120418002762804,0.6668607102867316,-0.04518108998954884,-0.015798250831461136
26,070.wav,080.wav,100.wav,0.7120668646326833,0.6690596712452143,-0.043007193387469056,-0.01577318647505821
27,030.wav,070.wav,090.wav,0.7122334779296531,0.677784110087177,-0.0344493678424761,-0.015606573178088445
28,030.wav,080.wav,100.wav,0.7124402758805896,0.6688655569043039,-0.04357471897628562,-0.015399775227151968
29,040.wav,090.wav,100.wav,0.7125770581097225,0.6571642140260209,-0.05541284408370162,-0.015262992998019032
30,020.wav,060.wav,100.wav,0.7134189065003778,0.6572440190064568,-0.056174887493920966,-0.014421144607363767
31,060.wav,070.wav,100.wav,0.7136105841537503,0.6681674188069021,-0.045443165346848224,-0.014229466953991188
32,010.wav,090.wav,100.wav,0.7137872151065713,0.666287597672169,-0.04749961743440223,-0.014052836001170244
33,050.wav,080.wav,090.wav,0.7138819070420079,0.674019814199054,-0.039862092842953945,-0.013958144065733591
34,030.wav,060.wav,100.wav,0.7139839954016566,0.6679733044659919,-0.04601069093566468,-0.013856055706084947
35,020.wav,070.wav,080.wav,0.7142471228759238,0.6726173626011006,-0.041629760274823235,-0.01359292823181768
36,020.wav,030.wav,080.wav,0.7146205341238301,0.6724232482601904,-0.04219728586363969,-0.013219516983911439
37,020.wav,040.wav,090.wav,0.714757316352963,0.6607219053819073,-0.054035410971055686,-0.013082734754778502
38,030.wav,070.wav,080.wav,0.7148122117772027,0.6833466480606357,-0.03146556371656695,-0.01302783933053886
39,040.wav,070.wav,090.wav,0.7149489940063356,0.6716453051823527,-0.043303688823982944,-0.012891057101405923
40,040.wav,080.wav,100.wav,0.7151557919572721,0.6627267519994796,-0.05242903995779247,-0.012684259150469446
