combo_id,enrollment_1,enrollment_2,enrollment_3,zero_rank,delta_rank,zero_shot_mean,best_sft_mean,best_sft_minus_zero,best_run_name,best_learning_rate,best_epoch,mean_sft_across_24,median_sft_across_24
114,060.wav,080.wav,090.wav,1,118,0.6955629208778662,0.6622008932422658,-0.033362027635600366,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.6493793110407549,0.6496321279017578
120,080.wav,090.wav,100.wav,2,116,0.7005676981226597,0.668270532165652,-0.03229716595700771,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.6564879662851121,0.6562369033055719
62,020.wav,080.wav,090.wav,4,108,0.7027479563659003,0.6723838432772831,-0.030364113088617195,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.660164438620055,0.6606769993163621
117,070.wav,080.wav,090.wav,5,83,0.702939634019273,0.6797021812791321,-0.023237452740140885,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.6679778054999151,0.6676183843046576
111,060.wav,070.wav,080.wav,13,94,0.7070620873878898,0.6824300180460522,-0.024632069341837592,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.6697726270258629,0.6715749003678033
34,010.wav,080.wav,090.wav,14,77,0.7072387183407106,0.68439413812569,-0.02284458021502056,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.6734668729766321,0.6733095264920127
119,070.wav,090.wav,100.wav,19,86,0.7094881307851336,0.6859323126774819,-0.023555818107651727,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,0.6741172808599103,0.6743400711263918
85,030.wav,090.wav,100.wav,20,78,0.7098615420330399,0.6869065282060186,-0.022955013827021253,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,0.6748835813608564,0.6755745640257347
28,010.wav,060.wav,080.wav,22,90,0.7113611717093273,0.6871219748926102,-0.024239196816717157,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.6752616945025798,0.676143741487198
60,020.wav,070.wav,090.wav,23,70,0.711668389028374,0.6897010056343037,-0.02196738339407034,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.6777937531948531,0.6779969006902711
42,020.wav,030.wav,090.wav,25,64,0.7120418002762804,0.6905282407214827,-0.021513559554797723,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,0.6785600536957993,0.6797779247663496
81,030.wav,070.wav,090.wav,27,38,0.7122334779296531,0.6964644888652982,-0.015768989064354866,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,0.6863734205756594,0.6869500733535016
80,030.wav,070.wav,080.wav,38,35,0.7148122117772027,0.6994146426300522,-0.015397569147150514,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,3,0.6891374219859693,0.6895306276430562
32,010.wav,070.wav,090.wav,45,31,0.7161591510031844,0.7017824294513592,-0.014376721551825233,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,0.6910961875514303,0.690170194363213
14,010.wav,030.wav,090.wav,49,26,0.7165325622510906,0.702756644979896,-0.013775917271194649,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,0.6918624880523763,0.6933043539457733
31,010.wav,070.wav,080.wav,57,29,0.7187378848507341,0.7046232629294765,-0.014114621921257564,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.69386018896174,0.6942668050321779
82,030.wav,070.wav,100.wav,69,43,0.7213607085430634,0.705236377682816,-0.01612433086024745,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.6952768973459643,0.6970760444512842
53,020.wav,050.wav,090.wav,71,41,0.7226106620511091,0.7066009755012295,-0.016009686549879665,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,0.6954169548519932,0.6962828726514407
106,050.wav,070.wav,090.wav,72,15,0.7228023397044817,0.7136320393563689,-0.009170300348112836,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7032303217318532,0.7032150385219216
105,050.wav,070.wav,080.wav,84,13,0.7253810735520313,0.7165440018031347,-0.008837071748896586,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7059943231421629,0.7068948669881665
25,010.wav,050.wav,090.wav,93,9,0.7271014240259194,0.7188293797596428,-0.00827204426627659,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,0.7087193892085701,0.708083095268055
12,010.wav,030.wav,070.wav,97,4,0.7280317287611142,0.7213599836428543,-0.006671745118259964,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7122558040374843,0.7136497289836772
107,050.wav,070.wav,100.wav,107,16,0.7319295703178921,0.7224295150466752,-0.00950005527121689,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7121337985021582,0.7128316288539902
51,020.wav,050.wav,070.wav,109,8,0.7341098285611326,0.7265428261583063,-0.007567002402826262,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.715810270837101,0.7161067547967567
72,030.wav,050.wav,070.wav,111,3,0.7346749174624115,0.7332807225165124,-0.0013941949458990965,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7243899382179073,0.7261707982668024
23,010.wav,050.wav,070.wav,118,1,0.7386005905359428,0.7385531210067132,-4.746952922962677e-05,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7291127051936782,0.7292216180133613
