combo_id,enrollment_1,enrollment_2,enrollment_3,zero_rank,delta_rank,zero_shot_mean,best_sft_mean,best_sft_minus_zero,best_run_name,best_learning_rate,best_epoch,mean_sft_across_24,median_sft_across_24
23,010.wav,050.wav,070.wav,84,1,0.7010303057292114,0.7385531210067132,0.037522815277501786,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7291127051936782,0.7292216180133613
87,040.wav,050.wav,070.wav,67,2,0.6968623409243087,0.7300440850640785,0.03318174413976982,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7191863309542179,0.7198104224555191
18,010.wav,040.wav,070.wav,36,3,0.6871776750486652,0.7181233461904203,0.03094567114175506,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7070521967737949,0.7075645792854894
16,010.wav,040.wav,050.wav,96,4,0.7044362187471069,0.7347360419106366,0.030299823163529638,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7246753984309348,0.7247641174010897
105,050.wav,070.wav,080.wav,44,5,0.6899520619841767,0.7165440018031347,0.02659193981895802,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7059943231421629,0.7068948669881665
51,020.wav,050.wav,070.wav,77,6,0.7003315096402027,0.7265428261583063,0.0262113165181036,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.715810270837101,0.7161067547967567
5,010.wav,020.wav,070.wav,47,8,0.6906468437645593,0.7146220872846482,0.02397524352008884,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7036761366566782,0.704617582446339
24,010.wav,050.wav,080.wav,73,9,0.6975259398069751,0.7212359586496926,0.023710018842717506,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7114833906188799,0.711695398209828
3,010.wav,020.wav,050.wav,105,10,0.7079053874630011,0.7312347830048642,0.023329395541863085,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.721299338313818,0.7220881209138859
101,050.wav,060.wav,070.wav,57,11,0.6936305014657034,0.7163598761232889,0.02272937465758551,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7050251432578011,0.7056449352143199
107,050.wav,070.wav,100.wav,86,12,0.7012349066182174,0.7224295150466752,0.021194608428457773,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7121337985021582,0.7128316288539902
22,010.wav,050.wav,060.wav,85,16,0.7012043792885018,0.721051832969847,0.019847453681345217,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7105142107345178,0.7105650840557887
44,020.wav,040.wav,050.wav,92,19,0.7037374226580982,0.7227257470622295,0.01898832440413123,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7113729640743577,0.7114929147212341
26,010.wav,050.wav,100.wav,109,22,0.7088087844410159,0.7271214718932332,0.018312687452217258,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7176228659788749,0.7175258085933605
25,010.wav,050.wav,090.wav,87,24,0.7012737466452318,0.7188293797596428,0.017555633114410996,A_lr5e-7_cosine8_ref031_seed42,5e-7,6,0.7087193892085701,0.708083095268055
12,010.wav,030.wav,070.wav,98,27,0.7048209716671034,0.7213599836428543,0.016539011975750806,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7122558040374843,0.7136497289836772
90,040.wav,050.wav,100.wav,97,32,0.7046408196361131,0.7186124359505984,0.013971616314485291,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7076964917394147,0.7081200797412674
9,010.wav,030.wav,040.wav,107,44,0.7082268846849992,0.7175429045467775,0.009316019861778324,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7078184972747409,0.7086823386320854
54,020.wav,050.wav,100.wav,106,51,0.7081099883520072,0.7151111770448262,0.00700118869281896,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.704320431622298,0.705147778515075
73,030.wav,050.wav,080.wav,110,62,0.7110012716205105,0.7159635601594917,0.004962288538981174,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,0.7067606236431091,0.7076681813729346
