run_name,learning_rate,epoch,sample_count,zero_shot_mean,sft_mean,delta,ties,sft_std,sft_min,sft_max
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,0,20,0.688410369,0.700915807,-0.026924245,0,0.041129426,0.607831483,0.753911448
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,1,20,0.688410369,0.710001471,-0.01783858,0,0.031408174,0.622135846,0.756661219
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,2,20,0.688410369,0.706903984,-0.020936067,0,0.048084054,0.614041403,0.777019367
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,3,20,0.688410369,0.714041646,-0.013798405,0,0.037038838,0.646725813,0.78073562
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,4,20,0.688410369,0.697679166,-0.030160885,0,0.038629682,0.61480198,0.759289414
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,5,20,0.688410369,0.707515717,-0.020324334,0,0.038635082,0.60464795,0.770115562
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,6,20,0.688410369,0.713692121,-0.01414793,0,0.035595688,0.645433209,0.770512819
A_lr5e-7_cosine8_ref031_seed42,5.00E-07,7,20,0.688410369,0.707680111,-0.02015994,0,0.039802446,0.617820148,0.770623851
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,0,20,0.688410369,0.706147636,-0.021692415,0,0.030947659,0.631998962,0.751414169
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,1,20,0.688410369,0.706167561,-0.02167249,0,0.040283797,0.604434474,0.745611529
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,2,20,0.688410369,0.695375944,-0.032464107,0,0.029050355,0.645741723,0.739097133
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,3,20,0.688410369,0.707349026,-0.020491025,0,0.033462932,0.63477497,0.750582455
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,4,20,0.688410369,0.698699092,-0.029140959,0,0.041661655,0.602601928,0.760399618
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,5,20,0.688410369,0.688445531,-0.03939452,0,0.039222402,0.589186164,0.746018115
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,6,20,0.688410369,0.704666735,-0.023173316,0,0.042122012,0.630336666,0.773156533
B_lr1e-6_cosine8_ref031_seed42,1.00E-06,7,20,0.688410369,0.694514977,-0.033325074,0,0.045833755,0.589682753,0.756327055
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,0,20,0.688410369,0.706867115,-0.020972936,0,0.037221443,0.631069077,0.761330965
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,1,20,0.688410369,0.707743798,-0.020096254,0,0.036910766,0.613097089,0.766835062
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,2,20,0.688410369,0.70151961,-0.026320441,0,0.041477017,0.614338224,0.758570161
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,3,20,0.688410369,0.709729742,-0.018110309,0,0.027446309,0.653420362,0.753052268
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,4,20,0.688410369,0.707367585,-0.020472466,0,0.031474711,0.63979164,0.744983863
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,5,20,0.688410369,0.706040433,-0.021799618,0,0.0483614,0.581350429,0.773542297
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,6,20,0.688410369,0.704441484,-0.023398567,0,0.049646953,0.53613619,0.786857316
C_lr1.5e-6_cosine8_ref031_seed42,1.50E-06,7,20,0.688410369,0.7031122,-0.024727851,0,0.050607086,0.528204174,0.782354057
