run_name,learning_rate,epoch,sample_count,zero_shot_mean,sft_mean,delta
ep5_lr1e-6_per_epoch_audio_seed42,1.00E-06,0,17,0.688410369,0.653208376,-0.035201994
ep5_lr1e-6_per_epoch_audio_seed42,1.00E-06,1,17,0.688410369,0.66048552,-0.027924849
ep5_lr1e-6_per_epoch_audio_seed42,1.00E-06,2,17,0.688410369,0.644367198,-0.044043171
ep5_lr1e-6_per_epoch_audio_seed42,1.00E-06,3,17,0.688410369,0.645989919,-0.04242045
ep5_lr1e-6_per_epoch_audio_seed42,1.00E-06,4,17,0.688410369,0.656716533,-0.031693837
ep5_lr2e-6_per_epoch_audio_seed42,2.00E-06,0,17,0.688410369,0.648002518,-0.040407852
ep5_lr2e-6_per_epoch_audio_seed42,2.00E-06,1,17,0.688410369,0.650682371,-0.037727998
ep5_lr2e-6_per_epoch_audio_seed42,2.00E-06,2,17,0.688410369,0.65660826,-0.031802109
ep5_lr2e-6_per_epoch_audio_seed42,2.00E-06,3,17,0.688410369,0.653824335,-0.034586034
ep5_lr2e-6_per_epoch_audio_seed42,2.00E-06,4,17,0.688410369,0.658221503,-0.030188866
ep5_lr5e-6_per_epoch_audio_seed42,5.00E-06,0,17,0.688410369,0.668963032,-0.019447337
ep5_lr5e-6_per_epoch_audio_seed42,5.00E-06,1,17,0.688410369,0.643397863,-0.045012507
ep5_lr5e-6_per_epoch_audio_seed42,5.00E-06,2,17,0.688410369,0.633551099,-0.05485927
ep5_lr5e-6_per_epoch_audio_seed42,5.00E-06,3,17,0.688410369,0.638699233,-0.049711136
ep5_lr5e-6_per_epoch_audio_seed42,5.00E-06,4,17,0.688410369,0.633843708,-0.054566661
