run_name,learning_rate,epoch,sample_count,zero_shot_mean,sft_mean,delta,ties,sft_std,sft_min,sft_max
ep5_lr1e-6_ref031_seed42,1.00E-06,0,17,0.688410369,0.691853554,-0.037377045,0,0.055841678,0.581729544,0.796896916
ep5_lr1e-6_ref031_seed42,1.00E-06,1,17,0.688410369,0.703394722,-0.025835876,0,0.041360379,0.607721371,0.783575273
ep5_lr1e-6_ref031_seed42,1.00E-06,2,17,0.688410369,0.701215317,-0.028015282,0,0.044745985,0.556928914,0.752490314
ep5_lr1e-6_ref031_seed42,1.00E-06,3,17,0.688410369,0.693757279,-0.035473319,0,0.050234334,0.584098421,0.749558276
ep5_lr1e-6_ref031_seed42,1.00E-06,4,17,0.688410369,0.694126991,-0.035103607,0,0.040547988,0.617121694,0.743631236
ep5_lr2e-6_ref031_seed42,2.00E-06,0,17,0.688410369,0.701291749,-0.027938849,0,0.044228946,0.602913716,0.773870368
ep5_lr2e-6_ref031_seed42,2.00E-06,1,17,0.688410369,0.68838513,-0.040845468,0,0.056311562,0.54298876,0.763752088
ep5_lr2e-6_ref031_seed42,2.00E-06,2,17,0.688410369,0.702779313,-0.026451286,0,0.030116332,0.649650647,0.756179357
ep5_lr2e-6_ref031_seed42,2.00E-06,3,17,0.688410369,0.700039082,-0.029191517,0,0.044962801,0.573475668,0.751904478
ep5_lr2e-6_ref031_seed42,2.00E-06,4,17,0.688410369,0.699918411,-0.029312187,0,0.045927196,0.572955213,0.752494213
ep5_lr5e-6_ref031_seed42,5.00E-06,0,17,0.688410369,0.703899388,-0.025331211,0,0.024383404,0.671152976,0.747502074
ep5_lr5e-6_ref031_seed42,5.00E-06,1,17,0.688410369,0.691506475,-0.037724124,0,0.0476331,0.592374326,0.770816303
ep5_lr5e-6_ref031_seed42,5.00E-06,2,17,0.688410369,0.705871765,-0.023358834,0,0.047296174,0.603096432,0.778381689
ep5_lr5e-6_ref031_seed42,5.00E-06,3,17,0.688410369,0.692580579,-0.03665002,0,0.050844515,0.588681199,0.77500254
ep5_lr5e-6_ref031_seed42,5.00E-06,4,17,0.688410369,0.704528628,-0.02470197,0,0.020834739,0.679087773,0.747919236
