system,sample_id,generated_audio,enrollment_count,sim_mean,sim_std,sim_min,sim_max
zero_shot,test_040,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_040.wav,3,0.7587036782042115,0.02143093086991779,0.7285447786506077,0.7763827010639495
zero_shot,test_050,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_050.wav,3,0.735596533715357,0.025518155017171796,0.6998919357954554,0.7579931278631484
zero_shot,test_060,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_060.wav,3,0.748460786126348,0.025517712379092825,0.7127105780996855,0.77059880429914
zero_shot,test_070,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_070.wav,3,0.7020284233394412,0.0024708364706138197,0.6997816883518062,0.7054694805705349
zero_shot,test_080,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_080.wav,3,0.710240203762068,0.01747115218128375,0.6856103935225188,0.7242554245834729
zero_shot,test_090,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_090.wav,3,0.7424219908168611,0.0031345497501411943,0.7389825606614823,0.7465636562158553
zero_shot,test_100,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_100.wav,3,0.7673682494624399,0.008732648079819709,0.7580974329785373,0.7790696102247749
zero_shot,test_110,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_110.wav,3,0.7297981883389598,0.02325938683958672,0.7079600004626644,0.7620203049954926
zero_shot,test_120,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_120.wav,3,0.7465359615274761,0.01803002684913595,0.7296566162554783,0.7715267241475927
zero_shot,test_130,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_130.wav,3,0.7635894531843347,0.029607517358266066,0.7219042532131291,0.7878475624585336
zero_shot,test_140,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_140.wav,3,0.7585700317792884,0.00963827950482032,0.7454481542421088,0.7683257937267105
zero_shot,test_150,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_150.wav,3,0.47377519051946965,0.009817164668886704,0.4605673826153659,0.4840845554388341
zero_shot,test_160,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_160.wav,3,0.7576642344657479,0.007079623658861991,0.7519506240105308,0.76764126429664
zero_shot,test_170,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_170.wav,3,0.7923444815054443,0.008064921160537883,0.7826710961839797,0.8024141123757671
zero_shot,test_180,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_180.wav,3,0.7771426005036552,0.025344325254668662,0.7519036153891561,0.8118017722036288
zero_shot,test_190,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_190.wav,3,0.7331120498172411,0.004161536812019097,0.727241310358297,0.7364057442745552
zero_shot,test_200,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\zero_shot\test_200.wav,3,0.6995681171364742,0.019548987785703454,0.6757681766805047,0.7236507188900204
sft,test_040,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_040.wav,3,0.7225644032318691,0.015127859182998757,0.7038473105379704,0.740896857089316
sft,test_050,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_050.wav,3,0.5773996860614393,0.028259153568511965,0.5489248178811831,0.6159220136493962
sft,test_060,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_060.wav,3,0.6841177820365313,0.030715923060398255,0.6601732831426013,0.7274778893861534
sft,test_070,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_070.wav,3,0.5838056224537715,0.031035072778689603,0.5435877432805138,0.619134787389316
sft,test_080,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_080.wav,3,0.6994510757318513,0.047542986782428465,0.6441662319087872,0.7602324916064748
sft,test_090,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_090.wav,3,0.7318399302287646,0.00412126884010615,0.726043073956987,0.7352624082686787
sft,test_100,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_100.wav,3,0.78595026031981,0.012423476449286328,0.7697512131326016,0.7999410743746719
sft,test_110,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_110.wav,3,0.6549472076557407,0.020670694163500113,0.6290206680077823,0.6796056603433424
